idx,Country,Population,CropArea,CityPop,loc_x,loc_y
48,Sao Tome and Principe,219159,420.0,219159,0.9713095,7.02255
49,Mozambique,31255435,414138.32,4120870,-19.302233,34.9144977
50,Seychelles,98347,15.5,98347,-4.6574977,55.4540146
51,Chad,16425864,503380.0,1655620,15.6134137,19.0156172
52,Zimbabwe,14862924,162000.0,1603200,-18.4554963,29.7468414
53,Malawi,19129952,59840.0,2403720,-13.2687204,33.9301963
54,Lesotho,2142249,24330.0,2142249,-29.6039267,28.3350193
55,Mali,20250833,429420.0,3050570,16.3700359,-2.2900239
56,Gambia,2416668,6340.0,2416668,13.470062,-15.4900464
57,Spain,46754778,261426.381,13334930,39.3260685,-4.8379791
58,Sierra Leone,7976983,39490.0,1347560,8.6400349,-11.8400269
59,Liberia,5057681,19230.4,1735360,5.7499721,-9.3658524
60,Morocco,36910560,303580.0,10667086,31.1728205,-7.3362482
61,Senegal,16743927,94300.0,3540460,14.4750607,-14.4529612
62,Mauritania,4649658,397100.0,1552150,20.2540382,-9.2399263
63,Guinea,13132795,146350.0,2178600,10.7226226,-10.7083587
64,Cape Verde,555987,790.0,555987,16.0000552,-24.0083947
65,Ethiopia,114963588,384761.0,5703630,10.2116702,38.6521203
66,Burundi,11890784,20760.0,1277050,-3.426449,29.9324519
67,Somalia,15893222,441280.0,4696985,8.3676771,49.083416
68,Egypt,102334404,39710.0,29112955,26.2540493,29.2675469
69,Kenya,53771296,277100.0,7036390,1.4419683,38.4313975
70,Libya,6871292,153500.0,3074062,26.8234472,18.1236723
71,Rwanda,12952218,19586.0,1287950,-1.9646631,30.0644358
72,Sudan,43849260,1126648.4,7643380,14.5844444,29.4917691
73,South Sudan,11193725,282507.0,11193725,7.8699431,29.6667897
74,Tanzania,59734218,395212.0,10375090,-6.5247123,35.7878438
75,Uganda,45741007,144150.0,4050830,1.5333554,32.2166578
76,Albania,2877797,11655.55,2877797,41.000028,19.9999619
77,Bulgaria,6948445,50470.0,1287540,42.6073975,25.4856617
78,Cyprus,1207359,1276.493,1207359,34.9823018,33.1451285
79,Croatia,4105267,15050.0,4105267,45.3658443,15.6575209
80,France,65273511,285537.54,18804158,46.603354,1.8883335
81,Saint Pierre and Miquelon,5794,0.0,5794,46.8374544,-56.2120555
82,Greece,10423054,58671.88,3969570,38.9953683,21.9877132
83,Hungary,9660351,49166.726,1780390,47.1817585,19.5060937
84,Italy,60461826,125183.7,14064116,42.6384261,12.674297
85,Slovenia,2078938,6104.9,2078938,46.1199444,14.8153333
86,Czech Republic,10708981,35238.71,1327950,49.7439047,15.3381061
87,Israel,8655535,6464.0,6665307,30.8124247,34.8594762
88,Malta,441543,91.1,441543,35.8885993,14.4476911
89,Austria,9006398,26026.654,1990490,47.59397,14.12456
90,Portugal,10196709,39542.556,4343910,39.6621648,-8.1353519
91,Bosnia and Herzegovina,3280819,22420.0,3280819,44.3053476,17.5961467
92,Romania,19237691,130490.0,1767520,45.9852129,24.6859225
93,Switzerland,8654622,15024.369,1443350,46.7985624,8.2319736
94,Turkey,84339067,377620.0,38155352,38.9597594,34.9249653
95,Moldova,4033963,22646.0,4033963,47.2879608,28.5670941
96,Macedonia,2083374,12620.0,2083374,41.6171214,21.7168387
97,Gibraltar,33691,0.0,33691,36.1285933,-5.3474761
98,Serbia,8737371,34820.0,1410700,44.1534121,20.55144
99,Montenegro,628066,2579.5,628066,42.9868853,19.5180992
100,Slovakia,5459642,18830.0,5459642,48.7411522,19.4528646
101,Turks and Caicos Islands,38717,10.0,38717,21.721746,-71.5527809
102,Dominican Republic,10847910,24290.0,3587400,19.0974031,-70.3028026
103,Guatemala,17915568,46120.0,3159630,15.5855545,-90.345759
104,Honduras,9904607,35380.0,2617480,15.2572432,-86.0755145
105,Jamaica,2961167,4170.0,2961167,18.1850507,-77.3947693
106,Mexico,128932753,971380.0,67198034,23.6585116,-102.0077097
107,Nicaragua,6624554,50910.0,1107120,12.6090157,-85.2936911
108,Panama,4314767,21741.0,2015740,8.559559,-81.1308434
109,Costa Rica,5094118,17860.0,1482460,10.2735633,-84.0739102
110,El Salvador,6486205,11957.0,1123380,13.8000382,-88.9140683
111,Haiti,11402528,17900.0,3060170,19.1399952,-72.3570972
112,Cuba,11326616,64010.0,2152520,23.0131338,-80.8328748
113,Cayman Islands,65722,27.0,65722,19.703182249999998,-79.9174627243246
114,Bahamas,393244,130.0,393244,24.7736546,-78.0000547
115,Belize,397628,1800.0,397628,17.1204943,-88.6859028
116,Cook Islands,17564,0.0,17564,-19.99697155,-157.78587140620786
117,Fiji,896445,3116.0,896445,-18.1239696,179.0122737
118,Tonga,105695,350.0,105695,-19.9160819,-175.202642
